A substituição da última vírgula do primeiro parágrafo do texto dados do gráfico afirmar que, no período considerado, as pela conjunção e não acarreta erro gramatical ao texto nem traz                               finanças da cidade de Mossoró caracterizaram-se por um prejuízo à sua interpretação original.                                                        aumento progressivo anual tanto das RTs bem como das DTs. 1             Os primeiros vestígios de atividade contábil foram                        1            A Comissão de Acompanhamento e Fiscalização encontrados na Mesopotâmia, por volta de 4.000 a.C.                                     da   Copa    2014   (CAFCOPA)              constatou          indícios        de superfaturamento em contratos relativos a consultorias técnicas Inicialmente, eram utilizadas fichas de barro para representar;Certo;Errado;B;;
O montante das DTs da cidade de Mossoró no período de 2009 1       Mantém-se a correção gramatical do texto se o trecho                                          a 2011 suplantou o montante das suas RTs nesse período. “informar ao Tribunal de Contas do Estado do Rio Grande do                                4   Nos quatro últimos anos, emergiu uma regularidade: em 2011, Norte (TCE/RN) os atos ilegítimos” (R. 4 e 5) for reescrito da                                o valor da DT foi mais alto que o valor da RT; em 2012, essa situação se inverteu e o valor da RT foi mais alto que o da DT; seguinte forma: informar ao Tribunal de Contas do Estado do nos dois anos seguintes, esse padrão se repetiu. Rio Grande do Norte (TCE/RN) sobre os atos ilegítimos.;Certo;Errado;A;;
function. The exact scope of these responsibilities varies from one setting to another. However, at the core of the IT-manager                    25   Cyber-ethics approaches both ethical standards and present-day job description is the care of the in-house network. This often                        laws about technology systems and IT. 7   means that the IT-manager is involved in the selection of                         26   Cyber-ethics has the aim of giving people straightforward hardware and software used in the network. For example, an                             instructions about how to work with situations arising in online IT-manager would likely be involved in any discussions about                           environments. 10   updating the internal servers and computer workstations. There                    27   The expression “In a nutshell” (R.14) introduces a summarized is a good chance that (s)he would also work with other staff                           and simplified version of what cyber-ethics is all about. members in the selection of software, such as accounting;Certo;Errado;B;;
Seria gramaticalmente correto e estaria em consonância com os;Certo;Errado;B;;
É possível identificar no trecho “foi na Grécia que se configurou o primeiro esboço de um tribunal de contas”                             14   A oração “que os consultores apresentaram regime de trabalho incompatível com a realidade” (R. 7 e 8) funciona como (R. 9 a 11) duas orações, sendo uma delas de natureza restritiva. complemento da forma verbal “constatou-se” (R.7).;Certo;Errado;A;;
O texto descreve a evolução da atividade contábil, ressaltando;Certo;Errado;B;;
O termo “com a realidade” (R.8) e a oração ‘que tais volumes evolução dos sistemas de escrita. de horas trabalhadas jamais existiram’ (R.14) desempenham a 7       Os advérbios “Inicialmente” (R.3) e “logo” (R.4) atuam como                             função de complemento dos adjetivos “incompatível” (R.8) e ‘óbvio’ (R.13), respectivamente. sequenciadores textuais cuja função é organizar a sequência temporal relativa ao registro das atividades contábeis na                          12   O uso dos advérbios “alegadamente” (R.9) e “supostamente” (R.11) concorre para a argumentação apresentada no texto Mesopotâmia. de que houve irregularidades em um dos contratos, 8       O emprego do modo subjuntivo na forma verbal “conste” (R.8)                             especificamente no que se refere à descrição do volume de depende     sintaticamente    da    presença           da      conjunção                horas trabalhadas pelos consultores. “Embora” (R.7).                                                                    13   Na linha 5, a expressão “da Copa 2014” modifica o conteúdo semântico do substantivo “arenas”.;Certo;Errado;A;;
programs or some type of sales and customer database. professional face-to-face situations. Along with helping to establish the overall structure of the network, an IT-manager would also oversee processes that                      A respeito das entidades fiscalizadoras superiores e dos sistemas 16   would seek to identify any potential glitches in any                              de controle na administração pública brasileira, julgue os itens a programming that could cause some sort of system failure.                         seguir. Internet: <http://www.wisegeek.com> (adapted).;Certo;Errado;B;;
As formas verbais “apresentaram” (R.7), “trabalharam” (R.9) e o papel que cada civilização do mundo antigo desempenhou                                “Existem” (R.18) aparecem flexionadas no plural pelo mesmo nessa história de evolução.                                                             motivo: concordância com sujeito composto plural. De acordo com o Manual de Redação da Presidência da                                     1            The discipline known as cyber-ethics is concerned República, julgue os seguintes itens.                                                       with ethical behavior, and moral duties and obligations pertaining to online environments and digital media. 16   A introdução de comunicação oficial de mero encaminhamento                         4            This discipline deals with the responsible and de documentos deve ser iniciada com a referência ao                                    appropriate use one makes of information while accessing, and expediente que solicitou o envio de tais documentos, se for                            creating technology, technology systems, and information esse o caso.                                                                       7   technology (IT). 17   Em Senhor Juiz, está claro que Vossa Excelência corrobora                                       Its purpose is to promote a general understanding of a decisão tomada por seus pares, o vocativo e o pronome de                             current ethical and legal standards, rights and restrictions tratamento estão empregados de acordo com as normas das                           10   governing technology systems and IT within the context of comunicações oficiais.                                                                 today’s society, enabling people to make ethical and legal decisions when confronted with dilemmas concerning the use;Certo;Errado;A;;
example, intellectual property rights, media copyright empregados no tratamento de assuntos oficiais por órgãos da laws, private/public domain, fair use and file sharing; administração pública entre si.                                                             C understand the legal implications of personal, 19   Tanto o ofício como o memorando devem apresentar o cargo                          19            educational and commercial uses of protected works; e o endereço da pessoa a quem é dirigida a comunicação.                                     C behave ethically when using technology regarding i) 20   Nas comunicações oficiais, estaria correta a sentença Vossa                                     intellectual property, ii) fair use of copyrighted;Certo;Errado;A;;
O ofício, o aviso e o memorando seguem o formato do padrão;Certo;Errado;B;;
